Energy (eV),Efficiency %,Efficiency % Uncertainty
570.0,0.13156835812599182,0.054018012576353004
571.0,0.13242602525946948,0.054132979838879325
572.0,0.1332842047195864,0.05424660829971567
573.0,0.13414287339465697,0.05435890237172752
574.0,0.13500200835064582,0.054469866543100987
575.0,0.13586158683130264,0.054579505375386486
576.0,0.13672158625826575,0.05468782350156878
577.0,0.13758198423113113,0.05479482562416135
578.0,0.1384427585274904,0.05490051651332695
579.0,0.13930388710293995,0.05500490100502296
580.0,0.1401653480910565,0.05510798399917174
581.0,0.1410271198033456,0.05520977045785629
582.0,0.14188918072916173,0.05531026540354081
583.0,0.14275150953559618,0.055409473917315655
584.0,0.14361408506734366,0.055507401137167484
585.0,0.1444768863465369,0.05560405225627364
586.0,0.14533989257255608,0.05569943252132021
587.0,0.14620308312181665,0.0557935472308463
588.0,0.14706643754752433,0.05588640173360987
589.0,0.14792993560568088,0.055978001436918876
590.0,0.1487935571954738,0.05606835178248481
591.0,0.14965728238169543,0.0561574582536531
592.0,0.15052109142192058,0.05624532638422699
593.0,0.15138496474896584,0.056331961750421
594.0,0.15224888297050707,0.056417369969369316
595.0,0.1531128268686863,0.05650155669765741
596.0,0.15397677739968976,0.05658452762987587
597.0,0.15484071569331023,0.056666288497197306
598.0,0.15570462305248955,0.05674684506597549
599.0,0.1565684809528433,0.05682620313636695
600.0,0.15743227104216337,0.05690436854097407
601.0,0.1583964647639834,0.05700198816857955
602.0,0.15936088210607827,0.057098210363855824
603.0,0.16032547738606148,0.057193036662518223
604.0,0.16129022589483102,0.05728647295715041
605.0,0.16225510313602842,0.05737852520154228
606.0,0.16322008482585246,0.0574691994087863
607.0,0.16418514689284627,0.05755850164940114
608.0,0.16515026547764874,0.05764643804948213
609.0,0.16611541693271753,0.057733014788877816
610.0,0.16708057782202076,0.05781823809939438
611.0,0.16804572492069983,0.05790211426302464
612.0,0.16901083521470286,0.05798464961020541
613.0,0.1699758859003934,0.05806585051809927
614.0,0.1709408543841252,0.0581457234089029
615.0,0.17190571828179807,0.0582242747481815
616.0,0.1728704554183841,0.05830151104322801
617.0,0.17383504382742684,0.05837743884144862
618.0,0.1747994617505204,0.05845206472877233
619.0,0.17576368763676287,0.05852539532808699
620.0,0.17672770014218372,0.05859743729769878
621.0,0.1776914781291527,0.05866819732981699
622.0,0.17865500066576734,0.05873768214906341
623.0,0.17961824702521265,0.05880589851100571
624.0,0.1805811966851071,0.05887285320071429
625.0,0.18154382932682536,0.05893855303134381
626.0,0.18250612483480275,0.05900300484273845
627.0,0.18346806329581797,0.059066215500059055
628.0,0.18442962499826068,0.059128191892435226
629.0,0.18539079043138038,0.05918894093163985
630.0,0.18635154028451553,0.059248469550785346
631.0,0.1873118554463101,0.05930678470304392
632.0,0.18827171700391104,0.05936389336038954
633.0,0.18923110624214906,0.05941980251236169
634.0,0.19019000464270872,0.05947451916485106
635.0,0.19114839388327767,0.05952805033890767
636.0,0.19210625583668814,0.05958040306956929
637.0,0.19306357257003892,0.05963158440471189
638.0,0.19402032634380822,0.05968160140392083
639.0,0.1949764996109515,0.0597304611373824
640.0,0.19593207501598847,0.05977817068479663
641.0,0.1968870353940759,0.059824737134309545
642.0,0.19784136377007305,0.05987016758146644
643.0,0.19879505381930404,0.05991447228121833
644.0,0.19974806839975462,0.059957652136060934
645.0,0.200700401193501,0.05999971731218109
646.0,0.2016520359749521,0.06004067492470318
647.0,0.20260295670338427,0.060080532091208595
648.0,0.20355314752194173,0.06011929593080448
649.0,0.2045025927566365,0.060156973563210404
650.0,0.20545127511770214,0.06019357173991594
651.0,0.2063980125720498,0.06022886011621008
652.0,0.20734395876230394,0.06026308636651177
653.0,0.20828909879788443,0.060296257593022436
654.0,0.20923341796520328,0.06032838089406723
655.0,0.2101769017266163,0.06035946336329406
